id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,latitude,longitude,total_vitimas,n_mortos,n_feridos_graves,n_feridos_leves,n_ilesos,n_ignorados,indice_gravidade,gravidade_cat,tracado_simplificado,pista_tipo,area_tipo,clima_adverso,periodo_dia,municipio_clean
574553,2024-01-13,sábado,21:15:00,GO,153,"402,2",PIRENOPOLIS,Não,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não  ,-16.040709,-49.079845,4,0,0,2,2,0,2,Leve,Reta,Simples,Rural,Normal,Noite,PIRENOPOLIS
574722,2024-01-14,domingo,18:58:00,GO,40,"96,4 ",CRISTALINA,Não,Pista Escorregadia,Saída de leito carroçável,Sem Vítimas,Anoitecer,Decrescente,Garoa/Chuvisco,Simples,Aclive;Reta,Sim  ,-16.7546396,-47.6041675,18,0,0,0,18,0,0,Sem_Lesoes,Inclinacao,Simples,Urbana,Adverso,Transicao,CRISTALINA
575114,2024-01-16,terça-feira,14:50:00,GO,20,"19,7 ",FORMOSA,Não,Falta de acostamento,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta;Declive,Não  ,-15.553887,-47.18708,70,42,0,0,14,14,168,Fatal,Inclinacao,Simples,Rural,Normal,Dia,FORMOSA
643509,2024-11-22,sexta-feira,16:00:00,DF,20,"25,4 ",BRASILIA,Não,Chuva,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Sim  ,-15.595603,-47.649715,54,0,0,18,36,0,18,Leve,Curva,Simples,Urbana,Adverso,Dia,BRASILIA
575264,2024-01-17,quarta-feira,10:10:00,GO,50,99   ,CRISTALINA,Não,Acumulo de areia ou detritos sobre o pavimento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Em Obras,Sim  ,-16.7753024,-47.6235474,4,0,0,2,2,0,2,Leve,Reta,Simples,Urbana,Normal,Dia,CRISTALINA
575898,2024-01-20,sábado,08:30:00,GO,70,"8,2  ",AGUAS LINDAS DE GOIAS,Sim,Falta de elemento de contenção que evite a saída do leito carroçável,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva;Declive,Sim  ,-15.7373368,-48.2740747,1,0,1,0,0,0,2,Grave,Curva,Simples,Urbana,Normal,Dia,AGUAS LINDAS DE GOIAS
576998,2024-01-25,quinta-feira,13:57:00,DF,60,27   ,BRASILIA,Não,Avarias e/ou desgaste excessivo no pneu,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Sim  ,-16.017551,-48.249252,24,0,0,18,6,0,18,Leve,Curva,Simples,Urbana,Adverso,Dia,BRASILIA
577517,2024-01-28,domingo,04:39:00,DF,70,10   ,BRASILIA,Não,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim  ,-15.787066,-48.140709,12,0,0,6,6,0,6,Leve,Reta,Simples,Urbana,Adverso,Noite,BRASILIA
577625,2024-01-28,domingo,17:10:00,GO,70,29   ,COCALZINHO DE GOIAS,Não,Acumulo de água sobre o pavimento,Colisão com objeto,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Simples,Curva,Não  ,-15.7639611,-48.4429058,12,0,0,6,6,0,6,Leve,Curva,Simples,Rural,Normal,Transicao,COCALZINHO DE GOIAS
577828,2024-01-29,segunda-feira,15:00:00,DF,70,14   ,BRASILIA,Sim,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Não  ,-15.797312,-48.176056,2,0,0,2,0,0,2,Leve,Reta,Simples,Rural,Normal,Dia,BRASILIA
645045,2024-11-29,sexta-feira,17:22:00,DF,80,26   ,BRASILIA,Não,Velocidade Incompatível,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Curva,Não  ,-15.612259,-48.198044,15,0,3,0,3,9,6,Grave,Curva,Simples,Rural,Adverso,Dia,BRASILIA
578298,2024-02-01,quinta-feira,06:30:00,DF,20,"3,5  ",BRASILIA,Não,Acumulo de água sobre o pavimento,Colisão com objeto,Sem Vítimas,Pleno dia,Decrescente,Chuva,Múltipla,Declive;Ponte,Sim  ,-15.679851,-47.832211,6,0,0,0,6,0,0,Sem_Lesoes,Inclinacao,Multipla,Urbana,Adverso,Dia,BRASILIA
578410,2024-02-01,quinta-feira,18:15:00,GO,40,3    ,VALPARAISO DE GOIAS,Sim,Acesso irregular,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Sim  ,-16.076081,-47.985671,2,0,0,1,1,0,1,Leve,Reta,Simples,Urbana,Normal,Dia,VALPARAISO DE GOIAS
579852,2024-02-08,quinta-feira,19:10:00,GO,40,"0,2  ",VALPARAISO DE GOIAS,Sim,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Reta,Sim  ,-16.058273,-47.982655,1,0,1,0,0,0,2,Grave,Reta,Simples,Urbana,Normal,Noite,VALPARAISO DE GOIAS
580480,2024-02-11,domingo,08:50:00,DF,60,"21,9 ",BRASILIA,Não,Chuva,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Não  ,-15.979909,-48.206978,3,0,0,0,3,0,0,Sem_Lesoes,Reta,Simples,Rural,Adverso,Dia,BRASILIA
580641,2024-02-11,domingo,23:10:00,GO,60,"19,1 ",ALEXANIA,Não,Pista Escorregadia,Colisão frontal,Com Vítimas Fatais,Plena Noite,Crescente,Chuva,Dupla,Aclive;Reta,Não  ,-16.116914,-48.393592,12,3,3,6,0,0,24,Fatal,Inclinacao,Simples,Rural,Adverso,Noite,ALEXANIA
580648,2024-02-12,segunda-feira,00:40:00,DF,40,"2,9  ",BRASILIA,Não,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Interseção de Vias;Ponte;Reta,Sim  ,-15.99435,-47.985947,8,0,0,8,0,0,8,Leve,Obra_Arte,Simples,Urbana,Adverso,Noite,BRASILIA
580722,2024-02-08,quinta-feira,17:25:00,GO,20,2    ,FORMOSA,Não,Demais falhas na via,Eventos atípicos,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Interseção de Vias;Reta,Sim  ,-15.57387,-47.327488,8,0,0,0,8,0,0,Sem_Lesoes,Reta,Simples,Urbana,Adverso,Dia,FORMOSA
